feature,shap_value,feature_value
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.10200609,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.07594967,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.048411082,0.0
Feature_0,-0.023747806,0.0
Feature_0,0.0,0.0
Feature_0,0.0011315952,0.0
Feature_0,0.014743072,0.0
Feature_0,0.0011417975,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.007924734,0.0
Feature_0,0.0,0.0
Feature_0,-0.0043562055,0.0
Feature_0,1.520475,0.28496211767196655
Feature_0,0.0,0.33356308937072754
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.10093033,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.005309397,0.0
Feature_0,-0.021278648,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.3159071207046509
Feature_0,0.0,0.35845494270324707
Feature_0,-0.28389528,-1.1591539267864464
Feature_0,0.601091,-1.1216808865305377
Feature_0,-0.033786878,-0.605512269297474
Feature_0,0.4738601,-0.7659388369079033
Feature_0,-1.3801341,-0.6060891374623316
Feature_0,-0.17030697,-0.5913139703406243
Feature_0,-1.2772868,-0.6602242766355533
Feature_0,-3.9595358,-0.6850785647519972
Feature_0,0.0,1.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.161802,0.0
Feature_0,-0.052808598,0.0
Feature_0,0.04024581,0.0
Feature_0,-0.088277504,1.0
Feature_0,-0.14851566,0.0
Feature_0,-0.022441447,0.0
Feature_0,0.00406483,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.029788628,0.0
Feature_0,0.022189723,0.0
Feature_0,0.0,0.0
Feature_0,-0.005872815,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.041172635,0.0
Feature_0,0.0048281383,0.0
Feature_0,-0.05322423,0.0
Feature_0,0.0,0.0
Feature_0,-0.0039508604,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.7595995,0.0
Feature_0,-0.003173405,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.09131215,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.18453908,0.0
Feature_0,0.0,0.0
Feature_0,0.0038870948,0.0
Feature_0,-0.081337936,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,-0.0015747026,0.0
Feature_0,0.0068460386,0.0
Feature_0,0.0,0.0
Feature_0,-0.05947537,0.4170071482658386
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.05534727,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.05806393,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_0,0.20585203,0.48070794343948364
Feature_0,-0.023747806,0.0
Feature_0,0.0,0.0
Feature_0,0.0007409797,0.0
Feature_0,-0.0043763304,0.0
Feature_0,0.0007476655,0.0
Feature_0,0.0,0.0
Feature_0,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.007924734,0.0
Feature_1,0.0,0.0
Feature_1,-0.006872995,0.0
Feature_1,-0.08155098,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.120010346,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.5302247405052185
Feature_1,0.0,0.5602558851242065
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.012545593,0.0
Feature_1,-0.041509613,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.20297034,-0.08522377399696791
Feature_1,-0.38926622,0.48566955583452054
Feature_1,0.22240525,0.888821498809347
Feature_1,-0.082850516,1.0044373616172662
Feature_1,-0.99494374,-0.29470683456501884
Feature_1,-0.17637648,-0.15285206487995526
Feature_1,-1.0192739,-0.44276234562703154
Feature_1,-2.337434,-0.2413085271441324
Feature_1,0.0,1.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.14324236,0.0
Feature_1,-0.017239558,0.0
Feature_1,-0.13644056,1.0
Feature_1,0.007884685,0.0
Feature_1,-0.14994751,0.0
Feature_1,-0.025369812,0.0
Feature_1,0.0038825534,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.029128488,0.0
Feature_1,0.011012396,0.0
Feature_1,0.0,0.0
Feature_1,-0.005872815,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.041172635,0.0
Feature_1,0.0048281383,0.0
Feature_1,-0.2442629,0.2650875747203827
Feature_1,0.0,0.0
Feature_1,0.12067685,0.40111005306243896
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.018070439,0.1988566517829895
Feature_1,-0.028639423,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.08088879,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.5012274,0.39024704694747925
Feature_1,0.0,0.39024704694747925
Feature_1,0.0030505068,0.0
Feature_1,-0.09676702,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.0019845972,0.0
Feature_1,0.015333235,0.0
Feature_1,0.0,0.0
Feature_1,0.5917911,0.2299596220254898
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.7066247,0.3240697979927063
Feature_1,0.0,0.3543354868888855
Feature_1,0.0,0.0
Feature_1,0.069343045,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.13958444,0.0
Feature_1,-0.009452521,0.0
Feature_1,0.0,0.0
Feature_1,0.0011315952,0.0
Feature_1,-0.010170313,0.0
Feature_1,0.0011417975,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.0031393603,0.0
Feature_1,0.0,0.0
Feature_1,0.15466292,0.375837117433548
Feature_1,-0.07292643,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,-0.14084803,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
Feature_1,0.0,0.0
